"id","nome_interno","nome_paciente","modalidade","regiao","contraste","lado","detalhe","convenio","exibir","revisar"
"456","RM PELVE S CONTRASTE - ENTERO RM | RM ABD SUPERIOR S CONTRASTE - ENTERO RM","RM Intestino (Entero)","RM","Intestino (Entero)","SEM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PELVE S CONTRASTE - ENTERO RM; RM ABD SUPERIOR S CONTRASTE - ENTERO RM"
"457","RM ARTICULAR CC - JOELHO","RM Joelho","RM","Joelho","COM","","","","SIM",""
"458","RM ARTICULAR S CONTRASTE - JOELHO","RM Joelho","RM","Joelho","SEM","","","","SIM",""
"459","RM JOELHO (UNILATERAL) C/C","RM Joelho","RM","Joelho","COM","UNILATERAL","","","SIM",""
"460","RM JOELHO (UNILATERAL) S/ CONTRASTE","RM Joelho","RM","Joelho","SEM","UNILATERAL","","","SIM",""
"461","RM JOELHO DIREITO (ARTICULAÇAO)","RM Joelho","RM","Joelho","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome"
"462","RM JOELHO DIREITO COM CONTRASTE (AD) - (ARTICULAÇAO) | RM JOELHO DIREITO COM CONTRASTE (PD) - (ARTICULAÇAO)","RM Joelho","RM","Joelho","COM","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM JOELHO DIREITO COM CONTRASTE (AD) - (ARTICULAÇAO); RM JOELHO DIREITO COM CONTRASTE (PD) - (ARTICULAÇAO)"
"463","RM JOELHO ESQUERDO - (ARTICULACAO)","RM Joelho","RM","Joelho","NAO_INFORMADO","ESQUERDO","","","SIM","contraste não informado no nome"
"464","RM JOELHO ESQUERDO COM CONTRASTE (AD) - (ARTICULACAO) | RM JOELHO ESQUERDO COM CONTRASTE (PD) - (ARTICULACAO)","RM Joelho","RM","Joelho","COM","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM JOELHO ESQUERDO COM CONTRASTE (AD) - (ARTICULACAO); RM JOELHO ESQUERDO COM CONTRASTE (PD) - (ARTICULACAO)"
"465","RM MAMA (BILATERAL) S/ CONTRASTE | RM MAMA BILATERAL (SEM CONTRASTE)","RM Mamas","RM","Mamas","SEM","BILATERAL","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM MAMA (BILATERAL) S/ CONTRASTE; RM MAMA BILATERAL (SEM CONTRASTE)"
"466","RM MAMA (UNILATERAL) C/C","RM Mamas","RM","Mamas","COM","UNILATERAL","","","SIM",""
"467","RM MAMA (UNILATERAL) S/ CONTRASTE","RM Mamas","RM","Mamas","SEM","UNILATERAL","","","SIM",""
"468","RM MAMA C/C","RM Mamas","RM","Mamas","COM","","","","SIM",""
"469","RM MAMA C/C (BILATERAL) | RM MAMA BILATERAL (COM CONTRASTE)","RM Mamas","RM","Mamas","COM","BILATERAL","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM MAMA C/C (BILATERAL); RM MAMA BILATERAL (COM CONTRASTE)"
"470","RM MAMA S/ CONTRASTE","RM Mamas","RM","Mamas","SEM","","","","SIM",""
"471","RM SEGM. APENDICULAR (UNILATERAL) C/C","RM Membros (Braço ou Perna)","RM","Membros (Braço ou Perna)","COM","UNILATERAL","","","SIM",""
"472","RM SEGM. APENDICULAR (UNILATERAL) S/ CONTRASTE","RM Membros (Braço ou Perna)","RM","Membros (Braço ou Perna)","SEM","UNILATERAL","","","SIM",""
"473","RM SEGM. APENDICULAR S/ CONTRASTE","RM Membros (Braço ou Perna)","RM","Membros (Braço ou Perna)","SEM","","","","SIM",""
"474","RM MAO C/C","RM Mão","RM","Mão","COM","","","","SIM",""
"475","RM MAO DIREITA (SEG. APENDICULAR)","RM Mão","RM","Mão","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome"
"476","RM MAO DIREITA COM CONTRASTE (AD) - (SEG. APENDICULAR) | RM MAO DIREITA COM CONTRASTE (PD) - (SEG. APENDICULAR)","RM Mão","RM","Mão","COM","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM MAO DIREITA COM CONTRASTE (AD) - (SEG. APENDICULAR); RM MAO DIREITA COM CONTRASTE (PD) - (SEG. APENDICULAR)"
"477","RM MAO ESQUERDA (SEG. APENDICULAR)","RM Mão","RM","Mão","NAO_INFORMADO","ESQUERDO","","","SIM","contraste não informado no nome"
"478","RM MAO ESQUERDA COM CONTRASTE (AD) - (SEG. APENDICULAR) | RM MAO ESQUERDA COM CONTRASTE (PD) - (SEG. APENDICULAR)","RM Mão","RM","Mão","COM","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM MAO ESQUERDA COM CONTRASTE (AD) - (SEG. APENDICULAR); RM MAO ESQUERDA COM CONTRASTE (PD) - (SEG. APENDICULAR)"
"479","RM MAO S/ CONTRASTE","RM Mão","RM","Mão","SEM","","","","SIM",""
"480","RM FETAL","RM Obstétrica (Gestação)","RM","Obstétrica (Gestação)","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"481","RM ARTICULAR CC - OMBRO","RM Ombro","RM","Ombro","COM","","","","SIM",""
"482","RM ARTICULAR S CONTRASTE - OMBRO","RM Ombro","RM","Ombro","SEM","","","","SIM",""
"483","RM OMBRO (UNILATERAL) C/C","RM Ombro","RM","Ombro","COM","UNILATERAL","","","SIM",""
"484","RM OMBRO (UNILATERAL) S/ CONTRASTE","RM Ombro","RM","Ombro","SEM","UNILATERAL","","","SIM",""
"485","RM OMBRO DIREITO - (ARTICULAÇAO)","RM Ombro","RM","Ombro","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome"
"486","RM OMBRO DIREITO COM CONTRASTE (PD) - (ARTICULAÇAO) | RM OMBRO DIREITO COM CONTRASTE (AD) - (ARTICULAÇAO)","RM Ombro","RM","Ombro","COM","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM OMBRO DIREITO COM CONTRASTE (PD) - (ARTICULAÇAO); RM OMBRO DIREITO COM CONTRASTE (AD) - (ARTICULAÇAO)"
"487","RM OMBRO ESQUERDO - (ARTICULACAO)","RM Ombro","RM","Ombro","NAO_INFORMADO","ESQUERDO","","","SIM","contraste não informado no nome"
"488","RM OMBRO ESQUERDO COM CONTRASTE (AD) - (ARTICULACAO) | RM OMBRO ESQUERDO COM CONTRASTE (PD) - (ARTICULACAO)","RM Ombro","RM","Ombro","COM","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM OMBRO ESQUERDO COM CONTRASTE (AD) - (ARTICULACAO); RM OMBRO ESQUERDO COM CONTRASTE (PD) - (ARTICULACAO)"
"489","RM CAI OU OSSOS TEMPORAIS - (OUVIDOS / MASTÓIDES / ROCHEDOS)","RM Ouvidos (Ossos Temporais)","RM","Ouvidos (Ossos Temporais)","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"490","RM CAI OU OSSOS TEMPORAIS COM CONTRASTE-  (OUVIDOS / MASTÓIDES / ROCHEDOS) | RM CAI COM CONTRASTE (PD) - (OUVIDOS / MASTÓIDES / ROCHEDOS) | RM OSSOS TEMPORAIS C/C","RM Ouvidos (Ossos Temporais)","RM","Ouvidos (Ossos Temporais)","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM CAI OU OSSOS TEMPORAIS COM CONTRASTE-  (OUVIDOS / MASTÓIDES / ROCHEDOS); RM CAI COM CONTRASTE (PD) - (OUVIDOS / MASTÓIDES / ROCHEDOS); RM OSSOS TEMPORAIS C/C"
"491","RM OSSOS TEMPORAIS (BILATERAL)","RM Ouvidos (Ossos Temporais)","RM","Ouvidos (Ossos Temporais)","NAO_INFORMADO","BILATERAL","","","SIM","contraste não informado no nome"
"492","RM OSSOS TEMPORAIS COM CONTRASTE (AD) - (BILATERAL) | RM OSSOS TEMPORAIS COM CONTRASTE (PD) - (BILATERAL)","RM Ouvidos (Ossos Temporais)","RM","Ouvidos (Ossos Temporais)","COM","BILATERAL","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM OSSOS TEMPORAIS COM CONTRASTE (AD) - (BILATERAL); RM OSSOS TEMPORAIS COM CONTRASTE (PD) - (BILATERAL)"
"493","RM OSSOS TEMPORAIS S/ CONTRASTE","RM Ouvidos (Ossos Temporais)","RM","Ouvidos (Ossos Temporais)","SEM","","","","SIM",""
"494","RM PANTURRILHA DIREITA COM CONTRASTE (PD) - (SEG. APENDICULAR) | RM TENDAO AQUILES DIREITO COM CONTRASTE (AD) - (CALCANEO) | RM TENDAO AQUILES DIREITO COM CONTRASTE (PD) - (CALCANEO) | RM PERNA DIREITA COM CONTRASTE (AD) - (SEG. APENDICULAR) | RM PERNA DIREITA COM CONTRASTE (PD) - (SEG. APENDICULAR) | RM PANTURRILHA DIREITA COM CONTRASTE (AD) - (SEG. APENDICULAR)","RM Perna","RM","Perna","COM","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PANTURRILHA DIREITA COM CONTRASTE (PD) - (SEG. APENDICULAR); RM TENDAO AQUILES DIREITO COM CONTRASTE (AD) - (CALCANEO); RM TENDAO AQUILES DIREITO COM CONTRASTE (PD) - (CALCANEO); RM PERNA DIREITA COM CONTRASTE (AD) - (SEG. APENDICULAR); RM PERNA DIREITA COM CONTRASTE (PD) - (SEG. APENDICULAR); RM PANTURRILHA DIREITA COM CONTRASTE (AD) - (SEG. APENDICULAR)"
"495","RM PERNA CC","RM Perna","RM","Perna","COM","","","","SIM",""
"496","RM PERNA DIREITA (SEG. APENDICULAR) | RM PANTURRILHA DIREITA (SEG. APENDICULAR) | RM TENDAO AQUILES DIREITO (CALCANEO)","RM Perna","RM","Perna","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome; múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PERNA DIREITA (SEG. APENDICULAR); RM PANTURRILHA DIREITA (SEG. APENDICULAR); RM TENDAO AQUILES DIREITO (CALCANEO)"
"497","RM PERNA ESQUERDA - (SEG. APENDICULAR) | RM TENDAO AQUILES ESQUERDO (CALCANEO) | RM PANTURRILHA ESQUERDA - (SEG. APENDICULAR)","RM Perna","RM","Perna","NAO_INFORMADO","ESQUERDO","","","SIM","contraste não informado no nome; múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PERNA ESQUERDA - (SEG. APENDICULAR); RM TENDAO AQUILES ESQUERDO (CALCANEO); RM PANTURRILHA ESQUERDA - (SEG. APENDICULAR)"
"498","RM PERNA ESQUERDA COM CONTRASTE (AD) - (SEG. APENDICULAR) | RM PERNA ESQUERDA COM CONTRASTE (PD) - (SEG. APENDICULAR) | RM TENDAO AQUILES ESQUERDO COM CONTRASTE (AD) - (CALCANEO) | RM TENDAO AQUILES ESQUERDO COM CONTRASTE (PD) - (CALCANEO) | RM PANTURRILHA ESQUERDA COM CONTRASTE (AD) - (SEG. APENDICULAR) | RM PANTURRILHA ESQUERDA COM CONTRASTE (PD) - (SEG. APENDICULAR)","RM Perna","RM","Perna","COM","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PERNA ESQUERDA COM CONTRASTE (AD) - (SEG. APENDICULAR); RM PERNA ESQUERDA COM CONTRASTE (PD) - (SEG. APENDICULAR); RM TENDAO AQUILES ESQUERDO COM CONTRASTE (AD) - (CALCANEO); RM TENDAO AQUILES ESQUERDO COM CONTRASTE (PD) - (CALCANEO); RM PANTURRILHA ESQUERDA COM CONTRASTE (AD) - (SEG. APENDICULAR); RM PANTURRILHA ESQUERDA COM CONTRASTE (PD) - (SEG. APENDICULAR)"
"499","RM PERNA S CONTRASTE","RM Perna","RM","Perna","SEM","","","","SIM",""
"500","RM MEMBRO INFERIOR (UNILATERAL) C/C","RM Perna (Membro Inferior)","RM","Perna (Membro Inferior)","COM","UNILATERAL","","","SIM",""
"501","RM MEMBRO INFERIOR (UNILATERAL) S/ CONTRASTE","RM Perna (Membro Inferior)","RM","Perna (Membro Inferior)","SEM","UNILATERAL","","","SIM",""
"502","RM PESCOCO CC | RM PESCOÇO COM CONTRASTE (AD) - (NASO,LARIN,TIRE,TRAQ,RINO,PARAT) | RM PESCOÇO COM CONTRASTE (PD) - (NASO,LARIN,TIR (NASO,LARIN,TIRE,TRAQ,RINO,PARAT)","RM Pescoço","RM","Pescoço","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PESCOCO CC; RM PESCOÇO COM CONTRASTE (AD) - (NASO,LARIN,TIRE,TRAQ,RINO,PARAT); RM PESCOÇO COM CONTRASTE (PD) - (NASO,LARIN,TIR (NASO,LARIN,TIRE,TRAQ,RINO,PARAT)"
"503","RM PESCOCO S CONTRASTE","RM Pescoço","RM","Pescoço","SEM","","","","SIM",""
"504","RM PESCOÇO (NASO,LARIN,TIRE,TRAQ,RINO,PARAT)","RM Pescoço","RM","Pescoço","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"505","RM PLEXO BRAQUIAL/ LOMBAR (UNILATERAL) C/C","RM Plexo Nervoso","RM","Plexo Nervoso","COM","UNILATERAL","","","SIM",""
"506","RM PLEXO BRAQUIAL/ LOMBAR (UNILATERAL) S/ CONTRASTE","RM Plexo Nervoso","RM","Plexo Nervoso","SEM","UNILATERAL","","","SIM",""
"507","RM PELVE - MULTIPARAMETRICA DA PROSTATA S/C","RM Próstata","RM","Próstata","SEM","","","","SIM",""
"508","RM PELVE/ PROSTATA (PUBIS / SINFISE PUBICA) COM CONTRASTE (AD) | RM PELVE/ PROSTATA (PUBIS / SINFISE PUBICA) COM CONTRASTE (PD) | RM PROSTATA MULTIPARAMETRICA COM CONTRASTE | RM PROSTATA MULTIPARAMETRICA C/C","RM Próstata","RM","Próstata","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PELVE/ PROSTATA (PUBIS / SINFISE PUBICA) COM CONTRASTE (AD); RM PELVE/ PROSTATA (PUBIS / SINFISE PUBICA) COM CONTRASTE (PD); RM PROSTATA MULTIPARAMETRICA COM CONTRASTE; RM PROSTATA MULTIPARAMETRICA C/C"
"509","RM PELVE/ PROSTATA (PUBIS / SINFISE PUBICA) | RM MULTIPARAMETRICA DA PROSTATA | RM PELVE - MULTIPARAMETRICA DA PROSTATA","RM Próstata","RM","Próstata","NAO_INFORMADO","","","","SIM","contraste não informado no nome; múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PELVE/ PROSTATA (PUBIS / SINFISE PUBICA); RM MULTIPARAMETRICA DA PROSTATA; RM PELVE - MULTIPARAMETRICA DA PROSTATA"
"510","RM TORAX (ESTERNO,MEDIASTINO, PULMAO)","RM Pulmão (Vasos)","RM","Pulmão (Vasos)","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"511","RM TORAX COM CONTRASTE (AD) - (ESTERNO,MEDIASTINO, PULMAO) | RM TORAX COM CONTRASTE (PD) - (ESTERNO,MEDIASTINO, PULMAO)","RM Pulmão (Vasos)","RM","Pulmão (Vasos)","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM TORAX COM CONTRASTE (AD) - (ESTERNO,MEDIASTINO, PULMAO); RM TORAX COM CONTRASTE (PD) - (ESTERNO,MEDIASTINO, PULMAO)"
"512","RM PUNHO DIREITO (ARTICULAÇAO)","RM Punho","RM","Punho","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome"
"513","RM PUNHO DIREITO COM CONTRASTE (AD) - (ARTICULAÇAO) | RM PUNHO DIREITO COM CONTRASTE (PD) - (ARTICULAÇAO)","RM Punho","RM","Punho","COM","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PUNHO DIREITO COM CONTRASTE (AD) - (ARTICULAÇAO); RM PUNHO DIREITO COM CONTRASTE (PD) - (ARTICULAÇAO)"
"514","RM PUNHO ESQUERDO - (ARTICULACAO)","RM Punho","RM","Punho","NAO_INFORMADO","ESQUERDO","","","SIM","contraste não informado no nome"
"515","RM PUNHO ESQUERDO COM CONTRASTE (AD) - (ARTICULACAO) | RM PUNHO ESQUERDO COM CONTRASTE (PD) - (ARTICULACAO)","RM Punho","RM","Punho","COM","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PUNHO ESQUERDO COM CONTRASTE (AD) - (ARTICULACAO); RM PUNHO ESQUERDO COM CONTRASTE (PD) - (ARTICULACAO)"
"516","RM PE CC","RM Pé","RM","Pé","COM","","","","SIM",""
"517","RM PE S CONTRASTE","RM Pé","RM","Pé","SEM","","","","SIM",""
"518","RM PENIS CC","RM Pênis","RM","Pênis","COM","","","","SIM",""
"519","RM PENIS S CONTRASTE","RM Pênis","RM","Pênis","SEM","","","","SIM",""
"520","RM COXO-FEMURAL (UNILATERAL) S/ CONTRASTE","RM Quadril","RM","Quadril","SEM","UNILATERAL","","","SIM",""
"521","RM COXO-FEMURAL C/C (UNILATERAL)","RM Quadril","RM","Quadril","COM","UNILATERAL","","","SIM",""
"522","RM COXOFEMORAL DIREITO (QUADRIL) - (ARTICULAÇAO)","RM Quadril","RM","Quadril","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome"
"523","RM COXOFEMORAL DIREITO COM CONTRASTE (AD) (QUADRIL)- (ARTICULAÇAO) | RM COXOFEMORAL DIREITO COM CONTRASTE (PD) (QUADRIL) - (ARTICULAÇAO)","RM Quadril","RM","Quadril","COM","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM COXOFEMORAL DIREITO COM CONTRASTE (AD) (QUADRIL)- (ARTICULAÇAO); RM COXOFEMORAL DIREITO COM CONTRASTE (PD) (QUADRIL) - (ARTICULAÇAO)"
"524","RM COXOFEMORAL ESQUERDA (QUADRIL) - (ARTICULACAO)","RM Quadril","RM","Quadril","NAO_INFORMADO","ESQUERDO","","","SIM","contraste não informado no nome"
"525","RM COXOFEMORAL ESQUERDA COM CONTRASTE (AD) (QUADRIL)- (ARTICULACAO) | RM COXOFEMORAL ESQUERDA COM CONTRASTE (PD) (QUADRIL) - (ARTICULACAO)","RM Quadril","RM","Quadril","COM","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM COXOFEMORAL ESQUERDA COM CONTRASTE (AD) (QUADRIL)- (ARTICULACAO); RM COXOFEMORAL ESQUERDA COM CONTRASTE (PD) (QUADRIL) - (ARTICULACAO)"
"526","RM QQ SEGMENTO C/C","RM Qualquer Segmento","RM","Qualquer Segmento","COM","","","","SIM",""
"527","RM QQ SEGMENTO S/ CONTRASTE","RM Qualquer Segmento","RM","Qualquer Segmento","SEM","","","","SIM",""
"528","RM QUADRIL DIREITO (INGUINAL) (ARTICULAÇAO)","RM Região Inguinal (Hérnia)","RM","Região Inguinal (Hérnia)","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome"
"529","RM QUADRIL DIREITO (INGUINAL) COM CONTRASTE (AD) - (ARTICULAÇAO) | RM QUADRIL DIREITO (INGUINAL) COM CONTRASTE (PD) - (ARTICULAÇAO)","RM Região Inguinal (Hérnia)","RM","Região Inguinal (Hérnia)","COM","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM QUADRIL DIREITO (INGUINAL) COM CONTRASTE (AD) - (ARTICULAÇAO); RM QUADRIL DIREITO (INGUINAL) COM CONTRASTE (PD) - (ARTICULAÇAO)"
"530","RM QUADRIL ESQUERDO (INGUINAL) (ARTICULAÇAO)","RM Região Inguinal (Hérnia)","RM","Região Inguinal (Hérnia)","NAO_INFORMADO","ESQUERDO","","","SIM","contraste não informado no nome"
"531","RM QUADRIL ESQUERDO (INGUINAL) COM CONTRASTE (AD) - (ARTICULAÇAO) | RM QUADRIL ESQUERDO (INGUINAL) COM CONTRASTE (PD) - (ARTICULAÇAO)","RM Região Inguinal (Hérnia)","RM","Região Inguinal (Hérnia)","COM","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM QUADRIL ESQUERDO (INGUINAL) COM CONTRASTE (AD) - (ARTICULAÇAO); RM QUADRIL ESQUERDO (INGUINAL) COM CONTRASTE (PD) - (ARTICULAÇAO)"
"532","RM SELA TURCICA (HIPOFISE)","RM Sela Túrcica","RM","Sela Túrcica","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"533","RM SELA TURCICA CC | RM SELA TURCICA (HIPOFISE) COM CONTRASTE (AD) | RM SELA TURCICA (HIPOFISE) COM CONTRASTE (PD)","RM Sela Túrcica","RM","Sela Túrcica","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM SELA TURCICA CC; RM SELA TURCICA (HIPOFISE) COM CONTRASTE (AD); RM SELA TURCICA (HIPOFISE) COM CONTRASTE (PD)"
"534","RM SELA TURCICA S CONTRASTE","RM Sela Túrcica","RM","Sela Túrcica","SEM","","","","SIM",""
"535","RM ARTICULAR CC - TORNOZELO","RM Tornozelo","RM","Tornozelo","COM","","","","SIM",""
"536","RM PE DIREITO (ANTEPE) - (NAO INCLUI TORNOZELO) | RM TORNOZELO DIREITO (ART. TIBIOTARSICA)","RM Tornozelo","RM","Tornozelo","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome; múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PE DIREITO (ANTEPE) - (NAO INCLUI TORNOZELO); RM TORNOZELO DIREITO (ART. TIBIOTARSICA)"
"537","RM PE DIREITO COM CONTRASTE (PD) - (ANTEPE) (NAO INCLUI TORNOZELO) | RM PE DIREITO COM CONTRASTE (AD) - (ANTEPE) (NAO INCLUI TORNOZELO) | RM TORNOZELO DIREITO COM CONTRASTE (AD) - (ART. TIBIOTARSICA) | RM TORNOZELO DIREITO COM CONTRASTE (PD) - (ART. TIBIOTARSICA)","RM Tornozelo","RM","Tornozelo","COM","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PE DIREITO COM CONTRASTE (PD) - (ANTEPE) (NAO INCLUI TORNOZELO); RM PE DIREITO COM CONTRASTE (AD) - (ANTEPE) (NAO INCLUI TORNOZELO); RM TORNOZELO DIREITO COM CONTRASTE (AD) - (ART. TIBIOTARSICA); RM TORNOZELO DIREITO COM CONTRASTE (PD) - (ART. TIBIOTARSICA)"
"538","RM PE ESQUERDO COM CONTRASTE (AD) - (ANTEPE) (NAO INCLUI TORNOZELO) | RM PE ESQUERDO COM CONTRASTE (PD) - (ANTEPE) (NAO INCLUI TORNOZELO) | RM TORNOZELO ESQUERDO COM CONTRASTE (AD) - (ART. TIBIOTARSICA) | RM TORNOZELO ESQUERDO COM CONTRASTE (PD) - (ART. TIBIOTARSICA)","RM Tornozelo","RM","Tornozelo","COM","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PE ESQUERDO COM CONTRASTE (AD) - (ANTEPE) (NAO INCLUI TORNOZELO); RM PE ESQUERDO COM CONTRASTE (PD) - (ANTEPE) (NAO INCLUI TORNOZELO); RM TORNOZELO ESQUERDO COM CONTRASTE (AD) - (ART. TIBIOTARSICA); RM TORNOZELO ESQUERDO COM CONTRASTE (PD) - (ART. TIBIOTARSICA)"
"539","RM TORNOZELO ESQUERDO (ART. TIBIOTARCICA) | RM PE ESQUERDO (ANTEPE) - (NAO INCLUI TORNOZELO)","RM Tornozelo","RM","Tornozelo","NAO_INFORMADO","ESQUERDO","","","SIM","contraste não informado no nome; múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM TORNOZELO ESQUERDO (ART. TIBIOTARCICA); RM PE ESQUERDO (ANTEPE) - (NAO INCLUI TORNOZELO)"
"540","RM TORNOZELO OU PE (UNILATERAL) C/C","RM Tornozelo","RM","Tornozelo","COM","UNILATERAL","","","SIM",""
"541","RM TORNOZELO OU PE (UNILATERAL) S/ CONTRASTE","RM Tornozelo","RM","Tornozelo","SEM","UNILATERAL","","","SIM",""
"542","RM TORAX C/C","RM Tórax","RM","Tórax","COM","","","","SIM",""
"543","RM TORAX S/ CONTRASTE","RM Tórax","RM","Tórax","SEM","","","","SIM",""
"544","RM ORBITA C/C","RM Órbitas / Olhos","RM","Órbitas / Olhos","COM","","","","SIM",""
"545","RM ORBITA S/ CONTRASTE","RM Órbitas / Olhos","RM","Órbitas / Olhos","SEM","","","","SIM",""
"546","RM ORBITAS BILATERAL","RM Órbitas / Olhos","RM","Órbitas / Olhos","NAO_INFORMADO","BILATERAL","","","SIM","contraste não informado no nome"
"547","RM ORBITAS BILATERAL COM CONTRASTE (AD) | RM ORBITAS BILATERAL COM CONTRASTE (PD)","RM Órbitas / Olhos","RM","Órbitas / Olhos","COM","BILATERAL","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM ORBITAS BILATERAL COM CONTRASTE (AD); RM ORBITAS BILATERAL COM CONTRASTE (PD)"
"548","ABREUGRAFIA 100MM | ABREUGRAFIA 35 OU 70 MM","Abreugrafia","RX","","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ABREUGRAFIA 100MM; ABREUGRAFIA 35 OU 70 MM"
"549","CISTOGRAFIA COM CONTRASTE NAO IONICO","Cistografia Bexiga","RX","Bexiga","COM","","","","SIM",""
"550","COLANGIOGRAFIA PRÉ-OPERATORIA","Colangiografia Vias Biliares","RX","Vias Biliares","","","pré-operatória","","SIM",""
"551","COLANGIOGRAFIA PÓS-OPERATORIA","Colangiografia Vias Biliares","RX","Vias Biliares","","","pós-operatória","","SIM",""
"552","RX ESCANOMETRIA | ESCANOMETRIA","Escanometria Membros Inferiores (Escanometria)","RX","Membros Inferiores (Escanometria)","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RX ESCANOMETRIA; ESCANOMETRIA"
"553","RX ESCANOMETRIA (3) - AP QUADRIL/JOELHO/TORNOZELO","Escanometria Quadril","RX","Quadril","","","","","SIM",""
"554","HISTEROSSALPINGOGRAFIA C/C IONICO | HISTEROSSALPINGOGRAFIA C/C NÃO IONICO","Histerossalpingografia Útero e Trompas","RX","Útero e Trompas","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: HISTEROSSALPINGOGRAFIA C/C IONICO; HISTEROSSALPINGOGRAFIA C/C NÃO IONICO"
"555","PLANIGRAFIA DE TORAX","Planigrafia Tórax","RX","Tórax","","","","","SIM",""
"556","RX ATM (4) (ARTICULACAO TEMPOROMANDIBULAR BILATERAL) - OBL OU AXIA LAT. BOCA ABERTA OU BOCA FECHADA","RX ATM (Mandíbula)","RX","ATM (Mandíbula)","","BILATERAL","","","SIM",""
"557","RX DA ATM SERIE COMPLETA (3INC) | RADIOGRAFIA ATM","RX ATM (Mandíbula)","RX","ATM (Mandíbula)","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RX DA ATM SERIE COMPLETA (3INC); RADIOGRAFIA ATM"
